Province,Colour,Population,GDP
Drenthe,#d95f02,492167,16359307056
Flevoland,#e6ab02,416546,14960188368
Friesland,#1b9e77,647672,21663121248
Gelderland,#e7298a,2071972,84071227896
Groningen,#e7298a,583990,26950533336
Limburg,#e6ab02,1116137,48093874056
Noord-Brabant,#66a61e,2544806,123704736192
Noord-Holland,#7570b3,2853359,179430098904
Overijssel,#7570b3,1156431,46553444064
Utrecht,#1b9e77,1342158,76020892128
Zeeland,#1b9e77,383032,14799954168
Zuid-Holland,#d95f02,3673839,177984294696
