Region,Colour,Population,GDP
Bjelovar-Bilogora,#e6ab02,119764,936320000
Brod-Posavina,#66a61e,158575,1010240000
Dubrovnik-Neretva,#e6ab02,122568,1468320000
City of Zagreb,#1b9e77,790017,16661120000
Istria,#7570b3,208055,3082240000
Karlovac,#e6ab02,128899,1095360000
Koprivnica-Krizevci,#7570b3,115584,1106560000
Krapina-Zagorje,#66a61e,132892,994560000
Lika-Senj,#1b9e77,50927,435680000
Medimurje,#e6ab02,113804,1139040000
Osijek-Baranja,#e7298a,305032,2775360000
Pozega-Slavonia,#d95f02,78034,499520000
Primorje-Gorski Kotar,#66a61e,296195,4158560000
Sibenik-Knin,#66a61e,109375,1388800000
Sisak-Moslavina,#e7298a,172439,4158560000
Split-Dalmatia,#e7298a,454798,968800000
Varazdin,#e7298a,175951,1709120000
Virovitica-Podravina,#1b9e77,84836,528640000
Vukovar-Srijem,#1b9e77,179521,1183840000
Zadar,#d95f02,170017,1641920000
Zagreb County,#d95f02,317606,2931040000
