Region,Colour,Population,GDP
Dalarna,#d95f02,286165,11075000
Gavleborg,#7570b3,285637,10603000
Gotland,#1b9e77,58595,2102000
Halland,#1b9e77,324825,11414000
Jamtland,#1b9e77,129806,4813000
Jonkoping,#e6ab02,357237,14330000
Kalmar,#7570b3,243536,8756000
Kronoberg,#e7298a,197519,8470000
Norrbotten,#e7298a,251295,11380000
Orebro,#1b9e77,298907,11659000
Ostergotland,#66a61e,457496,18606000
Blekinge,#e6ab02,159371,5905000
Sodermanland,#e7298a,291341,9695000
Skane,#66a61e,1344689,53468000
Stockholm,#d95f02,2308143,149771000
Uppsala,#66a61e,368971,15881000
Varmland,#e7298a,280399,10134000
Vasterbotten,#66a61e,268465,10721000
Vasternorrland,#e6ab02,245968,10203000
Vastmanland,#e6ab02,271095,10729000
Vastra Gotaland,#7570b3,1690782,79472000
